14	13
14	15
14	54
14	105
194	187
194	193
164	80
164	165
133	132
133	134
133	248
112	57
112	113
8	7
8	9
208	207
208	209
9	8
9	10
9	35
9	146
9	148
117	116
117	118
93	92
93	94
162	80
162	146
162	161
162	235
97	96
97	98
205	204
205	206
170	169
170	171
207	206
207	208
156	155
156	157
27	26
27	28
189	190
45	44
45	46
45	199
45	201
248	133
248	249
196	187
196	197
167	166
167	168
53	13
53	52
53	54
53	125
56	15
56	57
243	242
243	244
172	171
204	203
204	205
16	15
16	17
240	122
240	239
246	245
235	13
235	162
38	37
38	39
94	93
94	95
74	73
74	75
149	148
149	150
161	35
161	162
44	43
44	45
105	14
105	87
79	78
79	80
3	4
3	228
42	15
42	43
157	148
157	156
22	21
22	23
18	17
18	19
17	16
17	18
21	20
21	22
21	137
21	139
6	5
6	7
24	23
24	25
115	114
115	116
115	130
115	132
151	152
252	251
239	125
239	240
96	95
96	97
72	71
72	73
191	4
191	190
190	189
190	191
30	29
5	4
5	6
58	57
58	59
47	46
47	48
47	81
47	141
10	9
10	11
116	115
116	117
136	60
136	137
114	113
114	115
85	84
85	86
201	45
201	140
152	151
152	153
140	139
140	141
140	201
140	203
126	125
126	127
59	58
59	60
54	14
54	15
54	40
54	53
139	21
139	140
46	45
46	47
46	82
46	84
146	9
146	145
146	162
146	187
146	232
150	50
150	149
199	45
199	80
23	22
23	24
231	4
231	232
132	115
132	133
36	35
36	37
137	21
137	136
186	73
186	187
166	165
166	167
184	73
184	183
35	9
35	36
35	159
35	161
244	243
244	245
125	40
125	51
125	53
125	126
125	239
98	97
98	99
77	76
77	78
210	209
206	205
206	207
19	18
19	20
153	152
153	154
197	80
197	196
92	91
92	93
245	244
245	246
43	42
43	44
81	47
81	48
81	80
81	82
81	102
193	4
193	194
7	6
7	8
242	122
242	243
80	79
80	81
80	145
80	162
80	164
80	197
80	199
119	118
119	120
249	248
249	250
118	117
118	119
82	46
82	81
76	75
76	77
110	57
110	109
28	27
28	29
168	167
168	169
51	37
51	50
51	52
51	125
75	74
75	76
40	15
40	39
40	54
40	109
40	125
171	170
171	172
12	11
12	13
12	37
12	87
148	9
148	149
148	157
148	159
87	12
87	86
87	103
87	105
145	80
145	146
86	85
86	87
4	3
4	5
4	191
4	193
4	231
250	249
250	251
183	182
183	184
165	164
165	166
109	40
109	110
29	28
29	30
187	146
187	186
187	194
187	196
130	115
130	129
11	10
11	12
182	183
95	94
95	96
52	51
52	53
120	119
120	121
57	56
57	58
57	110
57	112
102	81
102	103
71	72
84	46
84	85
60	59
60	134
60	136
26	25
26	27
39	38
39	40
103	87
103	102
78	77
78	79
25	24
25	26
203	140
203	204
122	121
122	240
122	242
113	112
113	114
155	154
155	156
134	60
134	133
129	128
129	130
169	168
169	170
50	51
50	150
13	12
13	14
13	53
13	235
154	153
154	155
159	35
159	148
91	92
128	127
128	129
251	250
251	252
37	12
37	36
37	38
37	51
127	126
127	128
73	72
73	74
73	184
73	186
228	3
228	227
48	47
48	81
48	99
20	19
20	21
141	47
141	140
99	48
99	98
209	208
209	210
15	14
15	16
15	40
15	42
15	54
15	56
232	146
232	231
227	228
121	120
121	122
